Tarih,Kahvaltı1,Kahvaltı2,Kahvaltı3,Kahvaltı4,SabitKahvaltı1,SabitKahvaltı2,SabitKahvaltı3,SabitKahvaltı4,Çorba1,Çorba2,AnaYemek1,AnaYemek2,PilavMakarna,SalataMeze,TatlıMeyve,ÇeyrekEkmek,Su
11-10-2025,Patates Kızartması,Haşlanmış Yumurta,Beyaz Peynir,Domates-Salatalık-Yeşillik,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Tarhana Çorbası,Mercimek Çorbası,Et Tantuni + Lavaş + Soğan + Salata,Barbunya Yemeği,Şehriyeli Pirinç Pilavı,Ayran,-,Çeyrek Ekmek,500 mL Su
12-10-2025,Sade Omlet,Zeytinli/Peynirli Açma,Kaşar Peyniri,Bal + Tereyağı,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Mantar Çorbası,Pirinç Çorbası,Tavuk Kalamar,Kabak Kalye,Fesleğenli Makarna,Yoğurt,-,Çeyrek Ekmek,500 mL Su
13-10-2025,Peynirli/Ispanaklı Börek,Haşlanmış Yumurta,Krem Peynir,Domates-Salatalık-Yeşillik,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Mercimek Çorbası,Ezogelin Çorbası,Çökertme Kebabı,Sebze Kızartma,Bulgur Pilavı,Muzlu/Çikolatalı Puding,-,Çeyrek Ekmek,500 mL Su
14-10-2025,Sucuklu Yumurta,Çikolatalı Milföy Böreği,Kaşar Peyniri,Reçel Çeşitleri,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Kremalı Mantar Çorbası,Köylü Çorbası,Tavuk Fajita,Biber Dolma + Yoğurt,Köri Soslu Makarna,Bahçe Salata,-,Çeyrek Ekmek,500 mL Su
15-10-2025,Patates Kızartması,Haşlanmış Yumurta,Beyaz Peynir,Sürülebilir Çikolata,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Düğün Çorbası,Tarhana Çorbası,Çiftlik Köfte,Yeşil Mercimek Yemeği,Pirinç Pilavı,Islak Kek,-,Çeyrek Ekmek,500 mL Su
16-10-2025,Sade Omlet,Dere Otlu Poğaça,Dil Peyniri,Domates-Salatalık-Yeşillik,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Mercimek Çorbası,Pirinç Çorbası,Tavuk Sote,Karışık Kızartma,Şehriyeli Bulgur Pilavı,Rus Salatası,-,Çeyrek Ekmek,500 mL Su
17-10-2025,Karışık Pizza,Haşlanmış Yumurta,Beyaz Peynir,Tahinli Pekmez,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Cennet Çorbası,Yayla Çorbası,Kaşarlı Köfte,Patates Yemeği,Salçalı Makarna,Ayran,-,Çeyrek Ekmek,500 mL Su
18-10-2025,Menemen,Simit,Kaşar Peyniri,Muz,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Ezogelin Çorbası,Yüksük Çorbası,Şinitzel,Bezelye Yemeği,Şehriye Pilavı,Çoban Salata,-,Çeyrek Ekmek,500 mL Su
19-10-2025,Karışık Kızartma,Haşlanmış Yumurta,Çeçil Peyniri,Reçel Çeşitleri,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Tavuk Çorbası,Şehriye Çorbası,Kuru Fasulye Yemeği,Fırında Sebze Sote,Pirinç Pilavı,Cevizli Baklava,-,Çeyrek Ekmek,500 mL Su
20-10-2025,Sade Omlet,Patates Kroket,Beyaz Peynir,Domates-Salatalık-Yeşillik,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Anadolu Çorbası,Sebze Çorbası,Tavuklı Sultan Kebabı,Taze Fasulye,Salçalı Makarna,Cacık,,Çeyrek Ekmek,500 mL Su
21-10-2025,Sosis Kokteyl (Salçalı veya Kızartma),Haşlanmış Yumurta,Kaşar Peyniri,Sürülebilir Çikolata,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Mısır Çorbası,Yayla Çorbası,Terbiyeli Sulu Köfte,Patares Köftesi + Yoğurt,Domatesli Bulgur Pilavı,Humus,-,Çeyrek Ekmek,500 mL Su
22-10-2025,Patatesli Yumurta,Sade Poğaça,Beyaz Peynir,Domates-Salatalık-Yeşillik,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Tavuk Çorbası,Köylü Çorbası,Kremalı Mantarlı Tavuk,İmambayıldı,Spagetti Napoliten,İrmik Helvası,-,Çeyrek Ekmek,500 mL Su
23-10-2025,Zeytinli/Peynirli Açma,Haşlanmış Yumurta,Kaşar Peyniri,Bal + Tereyağı,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Ezogelin Çorbası,Tarhana Çorbası,Arnavut Ciğeri,Fırında Sebze Sote,Bahar Pilavı,Akdeniz Salata,-,Çeyrek Ekmek,500 mL Su
24-10-2025,Sucuklu Yumurta,Çikolatalı Milföy Böreği,Örgü Peyniri,Domates-Salatalık-Yeşillik,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Hünkar Çorbası,Şehriye Çorbası,Tavuk Kapama,Mevsim Türlü,Nohutlu Bulgur Pilavı,Ekmek Kadayıf,-,Çeyrek Ekmek,500 mL Su
25-10-2025,Patates Kızartması,Haşlanmış Yumurta,Labne Peyniri,Tahinli Pekmez,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Mercimek Çorbası,İşkembe Çorbası,Nohut Yemeği,Ispanak Graten,Şehriyeli Pirinç Pilavı,Çoban Salata,Yoğurt,Çeyrek Ekmek,500 mL Su
26-10-2025,Menemen,Dereotlu Poğaça,Beyaz Peynir,Reçel Çeşitleri,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Yayla Çorbası,Ezogelin Çorbası,İzmir Köfte,Bezelye Yemeği,Yoğurtlu Makarna,Acılı Ezme,-,Çeyrek Ekmek,500 mL Su
27-10-2025,Simit,Haşlanmış Yumurta,Kaşar Peyniri,Bal + Tereyağı,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Domates Çorbası,Brokoli Çorbası,Tavuk Sote,Sebzeli Mantar Sote,Garnitürlü Pirinç Pilavı,Çikolatalı Kremalı Pasta,-,Çeyrek Ekmek,500 mL Su
28-10-2025,Peynirli Omlet,Meyveli Kek,Çeçil Peyniri,Domates-Salatalık-Yeşillik,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Çeşmi Nigar Çorbası,Yayla Çorbası,Topalak Yemeği,Taze Fasulye,Fırın Makarna,Haydari,-,Çeyrek Ekmek,500 mL Su
29-10-2025,Pataes Kızartması,Haşlanmış Yumurta,Beyaz Peynir,Sürülebilir Çikolata,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Ezogelin Çorbası,Tarhana Çorbası,Çoban Kavurma,Karışık Sebze Graten,Salçalı Bulgur Pilavı,Ege Salata,-,Çeyrek Ekmek,500 mL Su
30-10-2025,Kaşarlı Omlet,Simit,Krem Peynir,Domates-Salatalık-Yeşillik,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Kremalı Mantar Çorbası,Sebze Çorbası,Tavuk Külbastı,Fırında Beşamelli Patates,Şehriyeli Pirinç Pilavı,Pembe Sultan,-,Çeyrek Ekmek,500 mL Su
31-10-2025,Patatesli Börek,Haşlanmış Yumurta,Beyaz Peynir,Reçel Çeşitleri,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Mercimek Çorbası,Şehriye Çorbası,Hamburger,Ispanak Yemeği,Garnitürlü Makarna,Ayran,-,Çeyrek Ekmek,500 mL Su
01-11-2025,Menemen,Sade Poğaça,Kaşar Peyniri,Tahinli Pekmez,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Ezogelin Çorbası,Yayla Çorbası,Tavuk Şiş,Etsiz Mevsim Türlü,Domatesli Bulgur Pilavı,Bahçe Salata,-,Çeyrek Ekmek,500 mL Su
02-11-2025,Patates Kızartması,Haşlanmış Yumurta,Beyaz Peynir,Domates-Salatalık-Havuç-Yeşillik,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Domates Çorbası,Düğün Çorbası,Kuru Fasulye Yemeği,Beşamel Soslu Fırında Patates,Şehriyeli Pirinç Pilavı,Cevizli Kadayıf,-,Çeyrek Ekmek,500 mL Su
03-11-2025,Sucuklu Yumurta,Kakaolu Kek,Örgü Peyniri,Bal + Tereyağı,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Tarhana Çorbası,Mercimek Çorbası,Şinitzel + Elma Dilim Patates,Biber/Kabak Dolması,Salçalı Makarna,Rus Salatası,-,Çeyrek Ekmek,500 mL Su
04-11-2025,Karışık Kızartma,Haşlanmış Yumurta,Beyaz Peynir,Reçel Çeşitleri,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Pirinç Çorbası,Çeşmi Nigar Çorbası,Karnıyarık,Sebzeli Mantar Sote,Nohutlu Bulgur Pilavı,Supangle,-,Çeyrek Ekmek,500 mL Su
05-11-2025,Sade Omlet,Simit,Kaşar Peyniri,Domates-Salatalık-Havuç-Yeşillik,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Ezogelin Çorbası,Düğün Çorbası,Tavuk Çökertme,Taze Fasulye,Tereyağlı Pirinç Pilavı,Kıvırcık Salata,-,Çeyrek Ekmek,500 mL Su
06-11-2025,Sosis Kokteyl (Salçalı veya Kızartma),Haşhaşlı Cevizli Nokul,Beyaz Peynir,Sürülebilir Çikolata,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Şehriye Çorbası,Mercimek Çorbası,Tire Köfte,Fırında Karnabahar,Cevizli Erişte,Lebeniye,-,Çeyrek Ekmek,500 mL Su
07-11-2025,Peynirli Omlet,Çikolatalı Milföy Böreği,Kaşar Peyniri,Domates-Salatalık-Havuç-Yeşillik,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Yüksük Çorbası,Tavuk Çorbası,Nohut Yemeği,Karışık Kızartma + Yoğurt,Şehriyeli Bulgur Pilavı,Revani,-,Çeyrek Ekmek,500 mL Su
08-11-2025,Patates Kızartması,Haşlanmış Yumurta,Beyaz Peynir,Muz,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Ezogelin Çorbası,Sebze Çorbası,Tas Kebabı,Patlıcan Çığırtma,Pirinç Pilavı,Çoban Salata,-,Çeyrek Ekmek,500 mL Su
09-11-2025,Kaşarlı Omlet,Dereotlu Poğaça,Labne Peyniri,Tahinli Pekmez,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Domates Çorbası,Mercimek Çorbası,Köri Soslu Tavuk,Lahana Sarma,Salçalı Makarna,Browni,-,Çeyrek Ekmek,500 mL Su
10-11-2025,Karışık Pizza,Haşlanmış Yumurta,Beyaz Peynir,Reçel Çeşitleri,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Tarhana Çorbası,İşkembe Çorbası,İzmir Köfte,Bezelye Yemeği,Şehriyeli Pirinç Pilavı,Yoğurtlu Kereviz,-,Çeyrek Ekmek,500 mL Su
11-11-2025,Patatesli Yumurta,Sade Açma,Kaşar Peyniri,Domates-Salatalık-Havuç-Yeşillik,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Mahluta Çorbası,Kremalı Mantar Çorbası,Tavuk Izgara + Patates Tava,Barbunya Yemeği,Meyhane Pilavı,Karışık Salata,-,Çeyrek Ekmek,500 mL Su
12-11-2025,Peynirli Börek,Haşlanmış Yumurta,Krem Peynir,Helva,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Ezogelin Çorbası,Terbiyeli Şehriye Çorbası,Hamburger,Kabak Mücver,Spagetti Napoliten,Ayran,-,Çeyrek Ekmek,500 mL Su
13-11-2025,Sade Omlet,Simit,Beyaz Peynir,Elma,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Nohutlu Tarhana Çorbası,Yayla Çorbası,Tavuk Sote,Zeytinyağlı Havuçlu Kereviz,Şehriye Pilavı,Kalburabastı,-,Çeyrek Ekmek,500 mL Su
14-11-2025,Patates Kızartması,Haşlanmış Yumurta,Kaşar Peyniri,Sürülebilir Çikolata,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Şehriye Çorbası,Mercimek Çorbası,Et Tantuni + Lavaş + Soğan + Salata,Taze Fasulye,Garnitürlü Pirinç Pilavı,Haydari,-,Çeyrek Ekmek,500 mL Su
15-11-2025,Sucuklu Yumurta,Patates Kroket,Beyaz Peynir,Domates-Salatalık-Havuç-Yeşillik,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Ezogelin Çorbası,Brokoli Çorbası,Tavuk Kalamar + Köz Biber/Domates,Fırında Sebze Sote,Salçalı Makarna,Yoğurt,-,Çeyrek Ekmek,500 mL Su
16-11-2025,Zeytinli/Peynirli Açma,Haşlanmış Yumurta,Çeçil Peyniri,Bal + Tereyağı,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Arabaşı Çorbası,Çeşmi Nigar Çorbası,Kuru Fasulye Yemeği,Ispanaklı Patates Graten,Şehriyeli Pirinç Pilavı,Cevizli Baklava,-,Çeyrek Ekmek,500 mL Su
17-11-2025,Kaşarlı Omlet,Sade Kek,Beyaz Peynir,Tahinli Pekmez,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Yüksük Çorbası,Sebze Çorbası,Tavuk Fajita,Lahana Sarma,Yoğurtlu Makarna,Çiğköfte,-,Çeyrek Ekmek,500 mL Su
18-11-2025,Patates Kızartması,Haşlanmış Yumurta,Labne Peyniri,Domates-Salatalık-Havuç-Yeşillik,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Anadolu Çorbası,Mercimek Çorbası,Macar Gulaş,Karnabahar Kızartması + Yoğurt,Şehriyeli Bulgur Pilavı,Kazandibi,-,Çeyrek Ekmek,500 mL Su
19-11-2025,Menemen,Simit,Beyaz Peynir,Reçel Çeşitleri,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Ezogelin Çorbası,Kremalı Mantar Çorbası,Haşlanmış Tavuk (Didilmiş) + Patates Kızartması,İmambayıldı,Nohutlu Pirinç Pilavı,Karışık Salata,-,Çeyrek Ekmek,500 mL Su
20-11-2025,Sosis Kokteyl (Salçalı veya Kızartma),Haşlanmış Yumurta,Örgü Peyniri,Domates-Salatalık-Havuç-Yeşillik,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Tarhana Çorbası,Çeşmi Nigar Çorbası,Sebzede Misket Köfte,Etsiz Mevsim Türlü,Mercimekli Bulgur Pilavı,Kuru Cacık,-,Çeyrek Ekmek,500 mL Su
21-11-2025,Sade Omlet,Peynirli Milföy Böreği,Beyaz Peynir,Bal + Tereyağı,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Domates Çorbası,Mercimek Çorbası,Çıtır Tavuk + Şakşuka,Ispanak Yemeği + Yoğurt,Salçalı Makarna,Şekerpare,-,Çeyrek Ekmek,500 mL Su
22-11-2025,Patates Kızartması,Haşlanmış Yumurta,Kaşar Peyniri,Domates-Salatalık-Havuç-Yeşillik,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Ezogelin Çorbası,Düğün Çorbası,Nohut Yemeği,Sebzeli Mantar Sote,Şehriyeli Pirinç Pilavı,Çoban Salata,Yoğurt,Çeyrek Ekmek,500 mL Su
23-11-2025,Peynirli Omlet,Dereotlu Poğaça,Beyaz Peynir,Sürülebilir Çikolata,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Tel Şehriye Çorbası,Tavuk Çorbası,Izgara Köfte,Kabak Mücver + Yoğurt,Spagetti,Acılı Ezme,-,Çeyrek Ekmek,500 mL Su
24-11-2025,Patatesli Börek,Haşlanmış Yumurta,Çeçil Peyniri,Domates-Salatalık-Havuç-Yeşillik,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Mahluta Çorbası,Yayla Çorbası,Tavuk Külbastı + Köz Biber/Domates,Taze Fasulye,Domatesli Bulgur Pilavı,Bisküvili Pasta,-,Çeyrek Ekmek,500 mL Su
25-11-2025,Sucuklu Yumurta,Sade Açma,Beyaz Peynir,Helva,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Ezogelin Çorbası,Tutmaç Çorbası,Tepsi Kebabı + Patlıcan Ezme,Biber/Kabak Dolması,Salçalı Makarna,Cacık,-,Çeyrek Ekmek,500 mL Su
26-11-2025,Patates Kızartması,Haşlanmış Yumurta,Krem Peynir,Sürülebilir Çikolata,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Arabaşı Çorbası,Mercimek Çorbası,Çökertme Kebabı,Brokoli Graten,Mısırlı Pirinç Pilavı,Pembe Sultan,-,Çeyrek Ekmek,500 mL Su
27-11-2025,Peynirli Omlet,Simit,Kaşar Peyniri,Tahinli Pekmez,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Domates Çorbası,Kremalı Mantar Çorbası,Tavuk Burger,Karışık Kızartma,Spagetti Napoliten,Ayran,-,Çeyrek Ekmek,500 mL Su
28-11-2025,Karışık Pizza,Haşlanmış Yumurta,Beyaz Peynir,Reçel Çeşitleri,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Ezogelin Çorbası,Mısır Çorbası,Şehzade Kebabı,Yeşil Mercimek Yemeği,Bahar Pilavı,Mandalina,-,Çeyrek Ekmek,500 mL Su
29-11-2025,Sade Omlet,Çikolatalı Milföy Böreği,Kaşar Peyniri,Domates-Salatalık-Havuç-Yeşillik,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Şehriye Çorbası,Sebze Çorbası,Tavuk Tantuni,İmambayıldı,Bulgur Pilavı,Karışık Salata,-,Çeyrek Ekmek,500 mL Su
30-11-2025,Patates Kızartması,Haşlanmış Yumurta,Beyaz Peynir,Tahinli Pekmez,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Nohutlu Tarhana Çorbası,Düğün Çorbası,Kuru Fasulye Yemeği,Çıtır Kabak Kızartması + Yoğurt,Şehriyeli Pirinç Pilavı,Kemalpaşa,Turşu,Çeyrek Ekmek,500 mL Su
01-12-2025,Kaşarlı Omlet,Kakaolu Kek,Beyaz Peynir,Reçel Çeşitleri,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Toyga Çorbası,Ezogelin Çorbası,Şinitzel + Patates Tava,Pırasa Mücver,Şehriyeli Bulgur Pilavı,Cacık,-,Çeyrek Ekmek,500 mL Su
02-12-2025,Zeytinli/Peynirli Açma,Haşlanmış Yumurta,Çeçil Peyniri,Bal + Tereyağı,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Yüksük Çorbası,Mercimek Çorbası,Kaşarlı Köfte,Karnabahar Graten,Salçalı Makarna,Sütlaç,-,Çeyrek Ekmek,500 mL Su
03-12-2025,Sucuklu Yumurta,Peynirli Poğaça,Labne Peyniri,Mandalina,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Mahluta Çorbası,Kremalı Mantar Çorbası,Haşlanmış Tavuk (Didilmiş),Sebze Kızartma,Nohutlu Pirinç Pilavı,Ayran,-,Çeyrek Ekmek,500 mL Su
04-12-2025,Patates Kızartması,Haşlanmış Yumurta,Kaşar Peyniri,Domates-Salatalık-Yeşillik,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Çeşmi Nigar Çorbası,Pirinç Çorbası,Çökertme Kebabı,Taze Fasulye,Şehriye Pilavı,Kıvırcık Salata,-,Çeyrek Ekmek,500 mL Su
05-12-2025,Menemen,Simit,Beyaz Peynir,Tahinli Pekmez,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Anadolu Çorbası,Ezogelin Çorbası,Tavuk Sote,Zeytinyağlı Patlıcan Yemeği,Garnitürlü Yoğurtlu Makarna,Çoban Salata,-,Çeyrek Ekmek,500 mL Su
06-12-2025,Sosis Kokteyl (Salçalı veya Kızartma),Cevizli Haşhaşlı Nokul,Kaşar Peyniri,Sürülebilir Çikolata,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Arabaşı Çorbası,Mercimek Çorbası,Nohut Yemeği,Karışık Kızartma + Yoğurt,Şehriyeli Pirinç Pilavı,Cevizli Baklava,-,Çeyrek Ekmek,500 mL Su
07-12-2025,Peynirli Omlet,Çikolatalı Milföy Börek,Örgü Peyniri,Domates-Salatalık-Yeşillik,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Şehriye Çorbası,Yayla Çorbası,Tavuk Şiş,Zeytinyağlı Bezelye Yemeği,Salçalı Bulgur Pilavı,Rus Salatası,-,Çeyrek Ekmek,500 mL Su
13-12-2025,Sucuklu Yumurta,Zeytinli / Peynirli Açma,Beyaz Peynir,Domates - Salatalık - Yeşillik,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Yayla Çorbası,Yüksük Çorbası,Sebzeli Köfte,Patlıcan / Kabak/ Biber Dolması + Yoğurt,Salçalı Makarna,Çiğköfte,-,Çeyrek Ekmek,500 mL Su
14-12-2025,Patates Kızartması,Haşlanmış Yumurta,Kaşar Peyniri,Tahinli Pekmez,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Kremalı Mantar Çorbası,Şehriye Çorbası,Çıtır Tavuk + Rus Salatası,Zeytinyağlı Kereviz,Domatesli Bulgur Pilavı,Browni,-,Çeyrek Ekmek,500 mL Su
15-12-2025,Kaşarlı Omlet,Sade Poğaça,Beyaz Peynir,Bal + Tereyağı,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Ezogelin Çorbası,İşkembe Çorbası,Çökertme Kebabı,Sebzeli Mantar Sote,Şehriyeli Pirinç Pilavı,Haydari,-,Çeyrek Ekmek,500 mL Su
